1649, 1850, 82, 6
1131, 218, 86, 12
996, 197, 41, 23
617, 1596, 71, 37
767, 1185, 11, 40
1677, 1870, 34, 44
2827, 661, 11, 2
2348, 1680, 85, 42
3051, 881, 42, 5
689, 1707, 92, 6
150, 397, 18, 7
3174, 1430, 67, 15
1243, 1850, 31, 46
2751, 778, 51, 49
3496, 741, 26, 44
2330, 746, 36, 7
3100, 51, 51, 23
3214, 823, 90, 43
2066, 1874, 50, 6
1936, 1859, 70, 32
3606, 613, 53, 15
385, 70, 16, 26
2758, 1222, 41, 0
408, 462, 86, 19
3581, 1244, 62, 2
3590, 769, 81, 7
1471, 1598, 39, 9
2740, 1990, 37, 9
1880, 990, 50, 9
1279, 1438, 40, 18
2092, 956, 65, 23
3571, 397, 70, 2
2164, 1498, 63, 48
423, 355, 13, 33
2992, 879, 5, 4
3574, 646, 33, 7
1842, 1873, 3, 10
473, 20, 28, 42
3983, 1619, 80, 47
654, 1679, 73, 33
2694, 977, 8, 8
2817, 1037, 59, 15
1474, 1640, 65, 23
2679, 1031, 70, 10
349, 229, 39, 26
331, 1628, 22, 6
728, 1079, 37, 29
265, 1679, 62, 13
990, 67, 80, 22
1577, 1732, 62, 50
3213, 1383, 76, 28
3898, 732, 2, 12
1206, 1529, 68, 41
3594, 1694, 65, 11
1867, 1054, 56, 2
2843, 246, 14, 7
2647, 1974, 86, 17
10, 1290, 37, 16
1823, 70, 80, 42
2540, 1425, 35, 20
1185, 1252, 57, 42
2358, 869, 2, 2
3133, 594, 51, 30
3612, 1652, 72, 7
503, 753, 87, 33
3129, 858, 97, 48
1118, 1640, 85, 12
460, 1295, 44, 40
1763, 156, 57, 41
1014, 1783, 99, 14
1434, 532, 50, 38
2987, 1827, 85, 21
1220, 1094, 16, 34
3769, 988, 54, 1
3897, 1165, 98, 41
3027, 544, 86, 42
3733, 1380, 42, 6
592, 1503, 39, 14
1280, 1161, 49, 26
841, 1408, 44, 17
3897, 272, 60, 16
3236, 1423, 82, 1
3558, 1697, 29, 37
743, 1358, 14, 27
543, 1818, 60, 17
3532, 417, 70, 27
1169, 1950, 10, 3
1599, 1707, 41, 41
88, 1433, 10, 50
2406, 107, 24, 6
1771, 1580, 74, 20
2428, 962, 19, 16
1053, 1613, 51, 42
1796, 801, 47, 29
2944, 355, 0, 45
2002, 1041, 93, 3
3661, 1095, 70, 19
2283, 1323, 0, 6
3491, 1632, 18, 13
923, 1135, 72, 36
1135, 824, 14, 39
2383, 1858, 99, 27
15, 1324, 3, 5
2966, 231, 10, 15
3818, 1298, 13, 2
2570, 13, 35, 42
1935, 544, 44, 32
939, 1226, 73, 12
3796, 1907, 67, 43
1017, 1863, 5, 4
3599, 938, 2, 29
1892, 298, 61, 27
3937, 1310, 53, 41
240, 1513, 31, 9
3494, 555, 30, 19
2521, 1984, 31, 30
2981, 394, 1, 15
1288, 1044, 34, 40
2181, 1025, 20, 22
2278, 1217, 77, 1
3855, 1008, 57, 23
1540, 199, 25, 38
2485, 872, 73, 18
3661, 1327, 48, 42
1149, 1628, 51, 0
3833, 1771, 38, 49
3793, 835, 67, 4
2112, 1302, 72, 6
2159, 1843, 84, 28
1611, 1172, 25, 4
746, 258, 22, 9
1810, 476, 3, 31
2841, 1481, 70, 32
1816, 1136, 43, 5
2400, 502, 40, 23
3017, 1967, 43, 5
818, 74, 43, 26
3564, 15, 58, 6
3225, 677, 95, 4
1332, 953, 91, 29
224, 1827, 99, 37
327, 1186, 21, 22
2296, 295, 64, 25
735, 1531, 28, 13
3742, 53, 37, 41
3531, 1570, 61, 7
904, 577, 61, 36
129, 762, 68, 12
985, 1360, 70, 12
1563, 1111, 80, 3
2633, 699, 89, 18
1444, 1858, 6, 14
372, 1604, 35, 6
3367, 1028, 53, 40
3236, 90, 4, 11
1864, 1504, 34, 12
3628, 1744, 79, 49
2018, 801, 97, 2
2171, 859, 69, 0
1420, 598, 78, 2
3153, 1845, 83, 18
3181, 1683, 82, 44
3000, 545, 81, 46
2828, 163, 61, 43
1406, 573, 28, 5
1871, 1366, 19, 35
1, 621, 83, 1
914, 1872, 87, 20
2698, 1612, 40, 11
2498, 484, 52, 45
3780, 611, 28, 15
2386, 1790, 72, 27
1033, 1439, 57, 9
2878, 429, 90, 12
2066, 258, 6, 44
43, 1244, 9, 7
811, 309, 57, 3
3864, 1296, 18, 44
548, 723, 1, 47
1552, 1870, 1, 44
3537, 1833, 70, 31
746, 107, 58, 39
362, 303, 1, 48
264, 112, 60, 35
3413, 1987, 53, 44
3641, 922, 65, 18
3037, 789, 23, 28
1515, 621, 88, 35
1853, 890, 33, 37
2240, 1801, 71, 29
2145, 22, 89, 40
34, 410, 32, 10
1567, 1727, 63, 15
2324, 1153, 45, 7
1422, 748, 19, 16
3657, 1934, 37, 36
1732, 1016, 93, 6
207, 1697, 8, 20
3801, 520, 88, 32
1175, 1444, 58, 36
1948, 1370, 6, 25
2442, 364, 59, 6
3895, 1095, 75, 6
2101, 550, 23, 8
2045, 1397, 23, 40
2155, 1023, 93, 25
2586, 1502, 99, 2
632, 315, 12, 25
3443, 1077, 66, 11
157, 215, 46, 34
2556, 613, 55, 14
3689, 1329, 46, 21
2629, 1141, 74, 0
2620, 353, 54, 7
1230, 1693, 5, 42
2341, 1170, 90, 17
2074, 672, 7, 44
3944, 1725, 67, 20
181, 813, 78, 9
1285, 1251, 31, 4
